Width,Height,Roi.X1,Roi.Y1,Roi.X2,Roi.Y2,ClassId,Path
30,30,6,6,25,25,26,Train/15/00015_00005_00005.png
59,61,5,6,54,56,26,Train/15/00015_00000_00027.png
52,51,6,5,47,46,26,Train/15/00015_00009_00016.png
122,146,11,12,112,134,26,Train/15/00015_00018_00029.png
77,83,7,8,71,76,26,Train/15/00015_00011_00028.png
37,37,6,6,32,32,26,Train/15/00015_00006_00013.png
58,59,6,6,53,54,26,Train/15/00015_00000_00026.png
56,56,5,5,51,51,26,Train/15/00015_00009_00020.png
59,62,6,5,54,57,26,Train/15/00015_00011_00022.png
33,32,6,5,28,27,26,Train/15/00015_00019_00018.png
56,56,6,6,51,51,26,Train/15/00015_00008_00023.png
29,31,6,5,24,26,26,Train/15/00015_00007_00006.png
29,30,5,6,24,25,26,Train/15/00015_00010_00007.png
51,54,6,5,46,49,26,Train/15/00015_00014_00026.png
46,53,5,6,41,48,26,Train/15/00015_00011_00010.png
43,41,6,5,38,36,26,Train/15/00015_00006_00018.png
28,28,5,5,23,23,26,Train/15/00015_00019_00007.png
29,30,6,6,24,24,26,Train/15/00015_00020_00005.png
27,28,6,6,22,23,26,Train/15/00015_00006_00001.png
35,34,6,5,30,29,26,Train/15/00015_00005_00014.png
37,39,6,5,32,34,26,Train/15/00015_00013_00010.png
30,36,5,6,24,31,26,Train/15/00015_00015_00003.png
50,50,5,5,45,45,26,Train/15/00015_00000_00017.png
47,57,5,6,41,52,26,Train/15/00015_00002_00018.png
43,47,6,5,38,42,26,Train/15/00015_00012_00019.png
27,28,6,5,22,23,28,Train/17/00017_00033_00005.png
33,35,6,6,28,30,28,Train/17/00017_00018_00004.png
31,30,6,5,26,25,28,Train/17/00017_00035_00012.png
30,30,5,5,25,25,28,Train/17/00017_00035_00013.png
52,53,6,5,47,48,28,Train/17/00017_00004_00011.png
31,33,5,6,26,28,28,Train/17/00017_00006_00005.png
44,41,5,5,39,36,28,Train/17/00017_00020_00020.png
34,36,5,6,29,30,28,Train/17/00017_00010_00013.png
35,35,5,6,30,30,28,Train/17/00017_00012_00029.png
41,43,6,6,36,38,28,Train/17/00017_00034_00020.png
37,39,5,5,32,34,28,Train/17/00017_00007_00019.png
27,29,6,6,22,24,28,Train/17/00017_00008_00003.png
34,36,6,6,29,31,28,Train/17/00017_00034_00013.png
30,35,5,6,25,30,28,Train/17/00017_00000_00024.png
27,31,5,6,22,26,28,Train/17/00017_00008_00012.png
50,55,5,6,45,49,28,Train/17/00017_00024_00021.png
55,56,6,6,50,51,28,Train/17/00017_00028_00022.png
43,43,6,5,38,38,28,Train/17/00017_00022_00011.png
28,28,5,5,23,23,28,Train/17/00017_00035_00009.png
30,31,5,6,24,25,28,Train/17/00017_00001_00007.png
29,28,6,6,24,23,28,Train/17/00017_00020_00002.png
49,49,6,6,44,44,28,Train/17/00017_00003_00025.png
52,55,6,5,47,50,28,Train/17/00017_00030_00015.png
37,40,6,6,32,35,28,Train/17/00017_00018_00018.png
37,37,6,5,32,31,28,Train/17/00017_00001_00018.png
108,110,9,10,98,101,29,Train/14/00014_00001_00023.png
29,30,5,6,24,25,29,Train/14/00014_00021_00000.png
59,60,5,6,54,55,29,Train/14/00014_00012_00027.png
99,104,8,9,91,94,29,Train/14/00014_00019_00024.png
29,30,5,6,23,24,29,Train/14/00014_00017_00004.png
54,58,5,6,49,53,29,Train/14/00014_00018_00009.png
76,78,6,7,69,71,29,Train/14/00014_00018_00018.png
